City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,40,5.75,light rain
1,Karratha,AU,-20.7377,116.8463,78.1,44,0,15.14,clear sky
2,Ponta Do Sol,PT,32.6667,-17.1,73.0,84,76,5.08,broken clouds
3,Taoudenni,ML,22.6783,-3.9836,83.16,13,100,14.38,overcast clouds
4,Pisco,PE,-13.7,-76.2167,62.65,77,0,13.8,clear sky
5,Mar Del Plata,AR,-38.0023,-57.5575,54.09,84,75,18.41,light rain
6,Graham,US,47.0529,-122.2943,48.36,91,20,6.91,light intensity drizzle
7,Repnoye,RU,51.5921,43.1861,39.18,69,89,7.29,overcast clouds
8,Nizwa,OM,22.9333,57.5333,72.01,26,0,1.72,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,48.31,46,0,32.21,clear sky
10,Bluff,NZ,-46.6,168.3333,56.8,64,28,11.86,scattered clouds
11,Puerto Ayora,EC,-0.7393,-90.3518,67.55,91,79,7.0,broken clouds
12,Chokurdakh,RU,70.6333,147.9167,11.77,95,100,11.05,overcast clouds
13,East London,ZA,-33.0153,27.9116,68.32,87,100,8.5,light rain
14,Rikitea,PF,-23.1203,-134.9692,70.7,74,1,23.38,clear sky
15,Ketchikan,US,55.3422,-131.6461,52.27,62,40,12.66,scattered clouds
16,Albany,US,42.6001,-73.9662,52.45,56,3,3.74,clear sky
17,Hobart,AU,-42.8794,147.3294,64.26,94,75,6.91,light rain
18,Nanortalik,GL,60.1432,-45.2371,41.04,88,100,15.14,overcast clouds
19,Qaanaaq,GL,77.484,-69.3632,-0.87,61,9,8.12,clear sky
20,Caravelas,BR,-17.7125,-39.2481,75.33,79,50,11.1,scattered clouds
21,Bonavista,CA,48.6499,-53.1147,51.87,75,100,12.03,overcast clouds
22,Le Port,RE,-20.9373,55.2919,71.56,71,15,4.21,few clouds
23,Tasiilaq,GL,65.6145,-37.6368,27.45,94,100,5.41,overcast clouds
24,Smithers,CA,54.7804,-127.1743,46.72,57,75,0.0,broken clouds
25,Ilulissat,GL,69.2167,-51.1,42.82,65,75,10.36,broken clouds
26,Neiafu,TO,-18.65,-173.9833,81.28,83,75,5.75,broken clouds
27,Ribeira Grande,PT,38.5167,-28.7,67.77,72,99,1.99,overcast clouds
28,Berbera,SO,10.4396,45.0143,81.81,71,1,7.45,clear sky
29,Sistranda,NO,63.7256,8.834,40.96,67,14,11.56,few clouds
30,Hermanus,ZA,-34.4187,19.2345,51.8,82,76,10.69,broken clouds
31,Ostrovnoy,RU,68.0531,39.5131,28.78,88,100,9.89,overcast clouds
32,Tiksi,RU,71.6872,128.8694,13.17,95,94,5.48,overcast clouds
33,De-Kastri,RU,51.4667,140.7833,37.04,48,37,7.23,scattered clouds
34,Busselton,AU,-33.65,115.3333,58.64,69,67,9.64,broken clouds
35,Porto Torres,IT,40.835,8.3972,71.78,56,32,8.77,scattered clouds
36,Sitka,US,57.0531,-135.33,44.49,76,75,8.05,moderate rain
37,Myitkyina,MM,25.3833,97.4,69.67,80,5,2.8,clear sky
38,New Norfolk,AU,-42.7826,147.0587,63.9,90,100,0.69,light rain
39,Jiwani,PK,25.05,61.7417,78.12,75,0,9.73,clear sky
40,Thompson,CA,55.7435,-97.8558,37.56,65,100,14.97,light snow
41,Valdivia,CL,-39.8142,-73.2459,59.09,82,0,1.34,clear sky
42,Castro,BR,-24.7911,-50.0119,59.63,95,38,4.76,scattered clouds
43,Iqaluit,CA,63.7506,-68.5145,35.33,87,75,23.02,light rain
44,Jamestown,US,42.097,-79.2353,58.59,27,0,10.36,clear sky
45,Tomatlan,MX,19.9333,-105.25,79.02,89,86,2.68,light rain
46,Hambantota,LK,6.1241,81.1185,77.36,81,100,7.7,overcast clouds
47,Todos Santos,MX,23.45,-110.2167,89.31,80,42,6.2,scattered clouds
48,Balkanabat,TM,39.5108,54.3671,62.28,65,79,11.39,broken clouds
49,Hami,CN,42.8,93.45,45.95,39,0,4.54,clear sky
50,Cidreira,BR,-30.1811,-50.2056,64.42,96,97,10.58,overcast clouds
51,Saldanha,ZA,-33.0117,17.9442,59.61,76,15,17.85,few clouds
52,Ushuaia,AR,-54.8,-68.3,47.86,46,40,4.61,scattered clouds
53,Talnakh,RU,69.4865,88.3972,34.21,97,100,16.22,light snow
54,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,87,80,19.55,broken clouds
55,Yellowknife,CA,62.456,-114.3525,30.72,69,75,9.22,broken clouds
56,Hilo,US,19.7297,-155.09,90.28,83,100,11.5,overcast clouds
57,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,86,75,6.91,broken clouds
58,Torbay,CA,47.6666,-52.7314,51.58,86,75,9.22,broken clouds
59,Nikolskoye,RU,59.7035,30.7861,42.69,95,94,3.2,overcast clouds
60,Bilibino,RU,68.0546,166.4372,13.8,93,100,3.0,light snow
61,Hervey Bay,AU,-25.2986,152.8535,69.03,96,100,11.01,moderate rain
62,Cherskiy,RU,68.75,161.3,13.48,95,100,6.4,overcast clouds
63,Carnarvon,AU,-24.8667,113.6333,68.83,68,7,13.58,clear sky
64,Mount Isa,AU,-20.7333,139.5,84.7,20,0,4.36,clear sky
65,Cape Town,ZA,-33.9258,18.4232,65.37,65,0,25.32,clear sky
66,Lebu,CL,-37.6167,-73.65,49.06,79,0,16.04,clear sky
67,Arraial Do Cabo,BR,-22.9661,-42.0278,72.23,93,100,24.85,overcast clouds
68,College,US,64.8569,-147.8028,35.55,93,100,6.91,light snow
69,Oriximina,BR,-1.7656,-55.8661,83.17,57,29,1.5,scattered clouds
70,Victoria,HK,22.2855,114.1577,76.95,83,97,1.01,overcast clouds
71,Fortuna,US,40.5982,-124.1573,64.92,68,100,9.22,overcast clouds
72,Simbahan,PH,6.3032,120.5836,83.26,73,91,4.59,overcast clouds
73,Avarua,CK,-21.2078,-159.775,80.65,78,75,10.36,broken clouds
74,Jales,BR,-20.2689,-50.5458,73.44,73,99,7.29,overcast clouds
75,Atuona,PF,-9.8,-139.0333,76.64,67,22,15.52,few clouds
76,Cairns,AU,-16.9167,145.7667,87.12,65,1,1.14,clear sky
77,Lompoc,US,34.6391,-120.4579,74.01,80,100,11.5,mist
78,Mataura,NZ,-46.1927,168.8643,56.48,32,17,3.31,few clouds
79,Cambara,BR,-23.0464,-50.0736,69.33,90,58,4.38,broken clouds
80,Leningradskiy,RU,69.3833,178.4167,29.23,98,99,4.52,light snow
81,Stokmarknes,NO,68.5646,14.9108,44.58,81,75,11.5,broken clouds
82,Mahebourg,MU,-20.4081,57.7,72.25,88,40,5.75,scattered clouds
83,Canoinhas,BR,-26.1772,-50.39,57.04,95,5,2.84,clear sky
84,Saint-Augustin,CA,51.226,-58.6502,45.34,76,14,11.68,few clouds
85,Vaini,TO,-21.2,-175.2,77.16,78,75,12.66,broken clouds
86,Pecos,US,31.4229,-103.4932,85.3,23,0,9.22,clear sky
87,Alvorada,BR,-12.48,-49.1247,82.83,53,60,6.24,broken clouds
88,Narasannapeta,IN,18.4167,84.05,71.83,73,4,6.69,clear sky
89,Tuatapere,NZ,-46.1333,167.6833,58.46,48,14,3.15,few clouds
90,Marawi,PH,7.9986,124.2928,76.24,78,98,0.45,overcast clouds
91,Bredasdorp,ZA,-34.5322,20.0403,54.05,87,83,4.29,broken clouds
92,Pangnirtung,CA,66.1451,-65.7125,31.8,94,100,9.01,light snow
93,Naze,JP,28.3667,129.4833,76.12,85,100,16.08,overcast clouds
94,Kushiro,JP,42.975,144.3747,61.75,77,40,5.75,scattered clouds
95,Klaksvik,FO,62.2266,-6.589,43.72,75,100,18.45,overcast clouds
96,Upernavik,GL,72.7868,-56.1549,25.43,88,100,5.23,light snow
97,Presevo,RS,42.3092,21.6492,39.6,73,47,4.12,scattered clouds
98,Mushie,CD,-3.0167,16.9,71.78,92,95,3.11,light rain
99,Presidente Epitacio,BR,-21.7633,-52.1156,72.18,81,58,7.4,broken clouds
100,Benguela,AO,-12.5763,13.4055,74.55,84,49,6.55,scattered clouds
101,Severo-Kurilsk,RU,50.6789,156.125,40.59,72,90,8.37,overcast clouds
102,Touros,BR,-5.1989,-35.4608,77.85,80,10,16.42,clear sky
103,Dongsheng,CN,39.8161,109.9776,41.0,34,0,3.6,clear sky
104,Banikoara,BJ,11.2985,2.4386,76.64,54,43,4.74,scattered clouds
105,Bethel,US,41.3712,-73.414,54.48,66,0,1.01,clear sky
106,Port Alfred,ZA,-33.5906,26.891,67.98,91,100,11.41,moderate rain
107,Ola,RU,59.5833,151.2833,16.14,60,44,10.4,scattered clouds
108,Praia,CV,14.9215,-23.5087,77.54,83,20,6.91,few clouds
109,Marquette,US,46.5333,-87.6335,47.64,82,46,4.41,scattered clouds
110,Tokur,RU,53.1333,132.9,25.34,50,17,2.44,few clouds
111,Souillac,MU,-20.5167,57.5167,71.98,88,40,5.75,scattered clouds
112,Georgetown,MY,5.4112,100.3354,78.75,90,40,5.75,light rain
113,Norman Wells,CA,65.282,-126.8329,26.64,86,100,4.61,light snow
114,Warri,NG,5.5167,5.75,75.09,94,72,3.6,broken clouds
115,Acapulco,MX,16.8634,-99.8901,78.08,85,99,3.2,overcast clouds
116,Oeiras,BR,-7.0253,-42.1311,87.1,28,94,3.51,overcast clouds
117,Mattru,SL,7.6244,-11.8332,73.96,95,51,2.37,broken clouds
118,Meadow Lake,US,34.8014,-106.5436,73.47,29,2,17.47,clear sky
119,Novopavlovsk,RU,43.9622,43.6342,47.61,72,51,4.83,broken clouds
120,Kapaa,US,22.0752,-159.319,87.78,69,75,14.97,broken clouds
121,Mishan,CN,45.55,131.8833,41.88,53,83,13.53,broken clouds
122,Pilar,BR,-9.5972,-35.9567,73.33,89,27,6.13,scattered clouds
123,Longyearbyen,SJ,78.2186,15.6401,22.84,68,20,20.71,few clouds
124,Jalu,LY,29.0331,21.5482,67.19,54,0,8.63,clear sky
125,Antsohihy,MG,-14.8796,47.9875,69.26,67,28,4.76,scattered clouds
126,Vila,PT,42.0304,-8.1588,50.88,93,87,7.27,overcast clouds
127,Nishihara,JP,26.1842,127.7558,78.08,97,75,6.91,light intensity shower rain
128,Rocha,UY,-34.4833,-54.3333,55.15,99,42,4.74,scattered clouds
129,Ormara,PK,25.2088,64.6357,78.6,67,0,4.74,clear sky
130,Airai,TL,-8.9266,125.4092,72.18,55,89,0.49,overcast clouds
131,San Quintin,MX,30.4833,-115.95,70.75,72,13,5.88,few clouds
132,Kargat,RU,55.1956,80.2811,44.92,73,98,12.53,overcast clouds
133,Yago,MX,21.8333,-105.0667,81.7,83,74,4.21,broken clouds
134,Sao Filipe,CV,14.8961,-24.4956,78.67,79,11,2.55,few clouds
135,Znamenskoye,RU,57.1281,73.8282,38.32,86,96,5.86,overcast clouds
136,Hithadhoo,MV,-0.6,73.0833,81.05,76,99,8.79,overcast clouds
137,Buraydah,SA,26.326,43.975,68.45,15,0,9.48,clear sky
138,Khatanga,RU,71.9667,102.5,3.07,97,87,3.44,overcast clouds
139,Narsaq,GL,60.9167,-46.05,38.19,97,100,8.19,light rain
140,Loukhi,RU,66.0764,33.0381,29.64,67,96,5.93,overcast clouds
141,San Andres,CO,12.5847,-81.7006,84.22,70,40,9.22,scattered clouds
142,Namibe,AO,-15.1961,12.1522,66.81,87,28,6.2,scattered clouds
143,Esperance,AU,-33.8667,121.9,57.04,71,100,5.23,light rain
144,Hauterive,FR,46.0901,3.4459,59.76,92,100,6.11,overcast clouds
145,Vostok,RU,46.4856,135.8833,37.27,98,100,3.22,overcast clouds
146,Hua Hin,TH,12.5707,99.9588,80.89,99,75,2.3,moderate rain
147,Paamiut,GL,61.994,-49.6678,40.86,87,100,35.72,light rain
148,Tahta,EG,26.7693,31.5021,70.5,45,0,7.09,clear sky
149,Plouzane,FR,48.3833,-4.6167,57.52,100,100,11.5,overcast clouds
150,Buala,SB,-8.145,159.5921,83.97,77,88,8.81,moderate rain
151,Shingu,JP,33.7333,135.9833,70.34,66,100,2.59,overcast clouds
152,Riyadh,SA,24.6877,46.7219,71.74,17,0,5.23,clear sky
153,Dhangadhi,NP,28.7079,80.5961,65.34,68,0,2.84,clear sky
154,Sao Felix Do Xingu,BR,-6.6447,-51.995,80.38,58,98,1.12,overcast clouds
155,Saskylakh,RU,71.9167,114.0833,13.98,94,100,4.43,overcast clouds
156,Santa Cruz,BO,-17.8,-63.1667,80.65,50,75,2.3,broken clouds
157,Butaritari,KI,3.0707,172.7902,81.27,73,18,14.54,few clouds
158,Evensk,RU,61.95,159.2333,14.95,73,78,7.92,broken clouds
159,Kaitangata,NZ,-46.2817,169.8464,59.79,40,12,0.69,few clouds
160,Kyabe,TD,9.4515,18.9449,71.11,96,97,3.8,overcast clouds
161,Adrar,MR,20.5022,-10.0711,82.18,13,89,10.04,overcast clouds
162,Umm Lajj,SA,25.0213,37.2685,80.22,60,0,6.93,clear sky
163,Flinders,AU,-34.5833,150.8552,75.18,81,92,5.01,overcast clouds
164,Havoysund,NO,70.9963,24.6622,39.43,94,100,22.26,light rain
165,Axim,GH,4.8699,-2.2405,76.57,90,50,5.26,light rain
166,Lata,PT,40.1629,-8.3327,60.08,94,34,5.84,scattered clouds
167,Katsuura,JP,35.1333,140.3,72.75,66,100,17.02,overcast clouds
168,Rantepao,ID,-2.9701,119.8978,73.63,86,64,0.31,light rain
169,Dunedin,NZ,-45.8742,170.5036,56.84,51,4,5.59,clear sky
170,Niquelandia,BR,-14.4739,-48.4597,78.73,59,100,3.22,overcast clouds
171,Lodwar,KE,3.1191,35.5973,82.44,37,47,16.44,scattered clouds
172,Emporia,US,38.4039,-96.1817,76.89,22,74,11.74,broken clouds
173,Bocaiuva,BR,-17.1078,-43.815,78.51,64,91,6.64,overcast clouds
174,Aripuana,BR,-9.1667,-60.6333,73.02,94,91,1.59,light rain
175,Abonnema,NG,4.7084,6.7931,75.63,90,56,4.0,light rain
176,Aquiraz,BR,-3.9014,-38.3911,80.69,80,39,13.62,scattered clouds
177,Aranos,NA,-24.1333,19.1167,75.27,42,100,9.55,overcast clouds
178,Goroka,PG,-6.0834,145.3873,66.43,91,100,1.36,overcast clouds
179,Shubarshi,KZ,48.5872,57.1869,48.33,77,100,14.32,light rain
180,Jatai,BR,-17.8814,-51.7144,68.0,90,100,4.74,overcast clouds
181,Severo-Yeniseyskiy,RU,60.3725,93.0408,33.06,91,100,8.55,overcast clouds
182,Tessalit,ML,20.1986,1.0114,77.74,19,82,7.87,broken clouds
183,Provideniya,RU,64.3833,-173.3,35.29,92,89,6.96,overcast clouds
184,Hamilton,US,39.1834,-84.5333,63.43,40,59,7.45,broken clouds
185,Oyem,GA,1.5995,11.5793,65.62,99,74,1.79,broken clouds
186,Berlevag,NO,70.8578,29.0864,33.8,80,100,3.44,overcast clouds
187,Mareeba,AU,-17.0,145.4333,82.49,41,0,4.36,clear sky
188,Kosh-Agach,RU,50.0,88.6667,27.0,76,38,2.24,scattered clouds
189,Ambon,ID,-3.6954,128.1814,84.34,79,20,3.44,few clouds
190,Codrington,AU,-38.2667,141.9667,61.61,81,96,10.4,overcast clouds
191,Boende,CD,-0.2167,20.8667,69.6,99,66,2.21,broken clouds
192,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,60,20,4.47,few clouds
193,Cosmesti,RO,45.8702,27.3112,43.88,57,36,13.47,scattered clouds
194,Kyren,RU,51.6828,102.1408,30.7,74,30,1.79,scattered clouds
195,Amapa,BR,1.0,-52.0,80.82,66,83,7.14,broken clouds
196,Tongliao,CN,43.6125,122.2653,44.22,64,50,6.2,scattered clouds
197,Muros,ES,42.7762,-9.0603,63.09,88,75,23.24,broken clouds
198,Chuy,UY,-33.6971,-53.4616,57.25,96,45,6.53,scattered clouds
199,Dikson,RU,73.5069,80.5464,32.16,93,100,13.62,overcast clouds
200,Barrow,US,71.2906,-156.7887,26.62,93,100,26.46,light snow
201,Manica,FR,49.0,-1.1667,56.77,90,84,9.71,broken clouds
202,Quatre Cocos,MU,-20.2078,57.7625,72.09,80,76,10.18,light rain
203,Pevek,RU,69.7008,170.3133,20.55,97,98,1.34,overcast clouds
204,Iskateley,RU,67.6803,53.1512,34.43,77,99,18.5,light snow
205,Najran,SA,17.4924,44.1277,63.25,21,0,3.33,clear sky
206,Port Macquarie,AU,-31.4333,152.9167,66.88,77,100,17.67,moderate rain
207,Manaure,CO,11.7751,-72.4445,83.21,76,45,11.9,scattered clouds
208,Horasan,TR,40.0458,42.1728,40.01,75,98,2.95,overcast clouds
209,Gazanjyk,TM,39.2446,55.5154,60.69,82,57,7.2,broken clouds
210,Oistins,BB,13.0667,-59.5333,80.69,83,20,10.36,few clouds
211,Cayenne,GF,4.9333,-52.3333,77.04,94,0,1.14,clear sky
212,Marsabit,KE,2.3284,37.9899,63.25,61,77,19.77,broken clouds
213,Alexandria,EG,31.2156,29.9553,68.54,64,65,8.86,broken clouds
214,Ipora,BR,-16.4419,-51.1178,70.57,81,100,0.2,overcast clouds
215,Bilma,NE,18.6853,12.9164,73.8,23,0,9.78,clear sky
216,Port Lincoln,AU,-34.7333,135.8667,63.86,62,77,6.44,broken clouds
217,Zhigansk,RU,66.7697,123.3711,6.91,96,53,4.5,broken clouds
218,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.3,67,98,3.98,overcast clouds
219,Port Elizabeth,ZA,-33.918,25.5701,61.09,94,75,6.91,broken clouds
220,Moranbah,AU,-22.0016,148.0466,77.59,56,0,4.32,clear sky
221,Aykhal,RU,66.0,111.5,16.45,98,94,12.24,overcast clouds
222,Loandjili,CG,-4.7561,11.8578,76.53,87,84,4.99,broken clouds
