City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-10-20 19:02:51,-23.1203,-134.9692,70.29,76,100,24.58
1,Broken Hill,AU,2022-10-20 19:02:51,-31.95,141.4333,60.78,94,49,4.23
2,Albany,US,2022-10-20 18:59:59,42.6001,-73.9662,56.91,37,14,1.01
3,Kapaa,US,2022-10-20 19:02:52,22.0752,-159.319,75.52,82,100,13.8
4,Port Alfred,ZA,2022-10-20 19:02:53,-33.5906,26.891,63.18,87,91,1.01
5,Ponta Do Sol,PT,2022-10-20 19:02:09,32.6667,-17.1,76.01,84,98,5.08
6,Ushuaia,AR,2022-10-20 19:01:59,-54.8,-68.3,41.83,69,88,8.21
7,Bambous Virieux,MU,2022-10-20 19:02:54,-20.3428,57.7575,72.21,76,8,12.75
8,Fortuna,US,2022-10-20 19:02:54,40.5982,-124.1573,56.32,100,0,10.36
9,Sainte-Rose,GP,2022-10-20 19:02:55,16.3324,-61.6979,85.17,74,75,10.36
10,Bengkulu,ID,2022-10-20 19:01:50,-3.8004,102.2655,75.4,90,100,13.27
11,Maumere,ID,2022-10-20 19:02:56,-8.6199,122.2111,80.76,77,99,1.19
12,Katsina,NG,2022-10-20 19:02:56,12.9894,7.6006,84.45,23,6,7.61
13,East London,ZA,2022-10-20 19:02:56,-33.0153,27.9116,69.33,71,100,10.69
14,Aksarka,RU,2022-10-20 19:02:58,66.5606,67.7975,29.52,92,92,8.28
15,Margate,GB,2022-10-20 19:00:52,51.3813,1.3862,57.31,90,26,1.99
16,Saskylakh,RU,2022-10-20 19:02:23,71.9167,114.0833,11.61,93,98,5.7
17,Naze,JP,2022-10-20 19:03:01,28.3667,129.4833,73.72,70,98,17.47
18,Tweed,CA,2022-10-20 19:03:02,44.4751,-77.3162,45.05,88,100,14.67
19,Tynda,RU,2022-10-20 19:03:03,55.1667,124.7167,20.84,86,24,2.64
20,Vila Franca Do Campo,PT,2022-10-20 18:58:25,37.7167,-25.4333,66.61,75,32,10.56
21,Butaritari,KI,2022-10-20 19:02:01,3.0707,172.7902,80.58,77,24,9.08
22,Puerto Narino,CO,2022-10-20 19:03:05,-3.7703,-70.3831,88.2,57,90,3.51
23,Yerbogachen,RU,2022-10-20 19:03:05,61.2767,108.0108,30.06,86,100,4.16
24,Busselton,AU,2022-10-20 19:03:06,-33.65,115.3333,53.01,85,4,5.39
25,Carnarvon,AU,2022-10-20 19:03:07,-24.8667,113.6333,64.81,80,5,12.73
26,Cape Town,ZA,2022-10-20 18:59:10,-33.9258,18.4232,63.12,73,0,19.57
27,Port Elizabeth,ZA,2022-10-20 19:02:10,-33.918,25.5701,63.1,93,10,1.99
28,Karratha,AU,2022-10-20 19:03:08,-20.7377,116.8463,75.09,73,0,12.82
29,Hilo,US,2022-10-20 18:58:43,19.7297,-155.09,86.29,76,20,5.75
30,Atuona,PF,2022-10-20 19:03:09,-9.8,-139.0333,76.51,76,10,19.66
31,Hermon,US,2022-10-20 19:03:10,44.8101,-68.9134,58.55,46,20,17.27
32,Bluff,NZ,2022-10-20 19:00:53,-46.6,168.3333,45.54,55,36,10.96
33,Irituia,BR,2022-10-20 19:03:13,-1.7711,-47.4381,89.02,49,100,7.81
34,Port Lincoln,AU,2022-10-20 19:03:13,-34.7333,135.8667,55.76,91,1,6.6
35,Nikolskoye,RU,2022-10-20 19:03:14,59.7035,30.7861,40.91,96,75,3.49
36,Souillac,MU,2022-10-20 18:59:15,-20.5167,57.5167,71.98,83,75,11.5
37,Torbay,CA,2022-10-20 19:00:34,47.6666,-52.7314,62.38,92,100,7.0
38,Punta Arenas,CL,2022-10-20 19:00:15,-53.15,-70.9167,45.07,54,89,25.14
39,Pontivy,FR,2022-10-20 19:03:17,48.0,-3.0,65.05,95,79,6.62
40,Nouadhibou,MR,2022-10-20 19:03:17,20.931,-17.0347,73.0,77,0,20.36
41,Paso De Los Toros,UY,2022-10-20 19:03:18,-32.8167,-56.5167,63.43,96,100,4.12
42,Chokurdakh,RU,2022-10-20 19:03:19,70.6333,147.9167,10.92,94,100,17.81
